Rank order,Code A,Code B,N(A),N(B),Overlap,Union,Jaccard,Lift,Phi,P(B|A),P(B|not A),Descriptive RR,Phi if overlap −1,Phi if overlap +1,Sensitivity width,Pilot threshold met?,Relationship class,Interpretation,Invalid inference
19,B2,B6,17,11,2,26,0.07692307692307693,0.5882352941176471,-0.1377056581888109,0.11764705882352941,0.23684210526315788,0.49673202614379086,-0.23606684260939012,-0.039344473768231684,0.19672236884115843,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
20,B6,B9,11,5,0,16,0,0,-0.15811388300841897,0,0.11363636363636363,0,,0,,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
21,B7,B9,12,5,0,17,0,0,-0.16705381391691135,0,0.11627906976744186,0,,-0.013921151159742613,,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
22,B4,B7,13,12,1,24,0.041666666666666664,0.3525641025641026,-0.19028309276891078,0.07692307692307693,0.2619047619047619,0.2937062937062937,-0.29390259873217905,-0.08666358680564254,0.20723901192653651,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
23,B3,B4,18,13,2,29,0.06896551724137931,0.4700854700854701,-0.2056308398174804,0.1111111111111111,0.2972972972972973,0.3737373737373737,-0.29683806715587896,-0.11442361247908184,0.18241445467679712,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
24,B2,B5,17,17,2,32,0.0625,0.3806228373702422,-0.2770897832817337,0.11764705882352941,0.39473684210526316,0.2980392156862745,-0.3622291021671827,-0.19195046439628483,0.17027863777089786,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
25,B5,B7,17,12,0,29,0,0,-0.35333695139907206,0,0.3157894736842105,0,,-0.2580745380316752,,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
26,B3,B7,18,12,0,30,0,0,-0.3684612200047538,0,0.32432432432432434,0,,-0.27464007602206186,,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
27,B2,B4,17,13,0,30,0,0,-0.3721171562087163,0,0.34210526315789475,0,,-0.2795088141658231,,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
28,B2,B8,17,19,1,35,0.02857142857142857,0.17027863777089783,-0.40317211244028395,0.058823529411764705,0.47368421052631576,0.12418300653594772,-0.485912657903775,-0.3204315669767928,0.1654810909269822,No,Exploratory,Descriptive co-occurrence; mechanism requires separate adjudication.,Association in a purposive multi-label corpus is not a population correlation or causal estimate.
