ID,Thread,Date,Category,Primary,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,Evidence type,Resolution,Public artifact / outcome,External migration,Evidence strength,Source URL,Analytical note
14,Tecan version control,2024-07-25,Tecan,B3,0,0,1,0,0,0,0,0,0,1,Support request,Open,None identified,No,2,https://labautomation.io/t/tecan-version-control/4177,Short thread demonstrates recurring demand and sparse public guidance.
15,Version Control of Hamilton Liquid Classes,2023-05-25,Hamilton (Venus),B3,0,0,1,1,0,0,0,0,0,1,Implementation attempt,Partial,Proof of concept,No,4,https://labautomation.io/t/version-control-of-hamilton-liquid-classes/1577,Structured export/rebuild approach produced opaque platform errors.
16,Automatically Update Submethod Versions?,2024-04-25,Hamilton (Venus),B3,0,0,1,0,0,0,0,0,0,1,Configuration support,Workaround,Manual update procedure,No,3,https://labautomation.io/t/automatically-update-submethod-versions/3530,Renamed methods retain references to previous submethod versions.
17,Venus Source Control Best Practices,2024-10-25,Hamilton (Venus),B3,1,0,1,0,0,0,0,0,0,1,Best-practice request,Open,Candidate file taxonomy,No,3,https://labautomation.io/t/venus-source-control-best-practices/4777,Attempts to distinguish source artifacts from transient files.
18,Understanding the 6 main files in VENUS,2024-11-26,Hamilton (Venus),B3,1,0,1,0,0,0,0,0,0,1,Knowledge reconstruction,Partial,Community explanations,No,3,https://labautomation.io/t/understanding-the-6-main-files-in-venus/5161,Reverse-engineers roles and semantics of binary and textual artifacts.
19,New VENUS Software Release,2023-06-22,Hamilton (Venus),B3,1,0,1,0,0,0,0,0,0,1,Release support,Informational,Vendor compatibility notes,No,4,https://labautomation.io/t/new-venus-software-release/1737,Documents backward-compatibility and library-version constraints.
20,No-Code vs Code Interface Discussion,2024-10-30,General,B8,0,0,1,0,0,0,0,1,1,1,Design debate,Open,None identified,No,4,https://labautomation.io/t/no-code-vs-code-interface-discussion/4810,"Connects interface design with testing, version control, debugging, and extensibility."
21,PLR Carrier z-Height Issue,2024-02-24,PyLabRobot Development,B4,1,0,0,1,0,1,0,1,0,1,Physical-model defect,Partial / corrected,"PRs, visualizations, proposed guide",No,4,https://labautomation.io/t/plr-carrier-z-height-issue/3056,Missing and misnamed geometry attributes can produce physical crashes.
22,Standardized labware naming convention discussion,2024-06-06,PyLabRobot Development,B4,1,0,0,1,0,0,0,0,0,1,Ontology discussion,Active,Naming proposal and GitHub work,No,4,https://labautomation.io/t/standardized-labware-naming-convention-discussion/3787,Attempts to normalize imported naming across resource classes.
23,PLR Lid Definition,2024-06-14,PyLabRobot Development,B4,1,0,0,1,0,0,0,0,0,0,Physical-model question,Open,None identified,No,3,https://labautomation.io/t/plr-lid-definition/3837,Exposes ambiguity in nested geometry and reference frames.
24,Labware Definitions: container cross-section & carrier type,2024-01-10,PyLabRobot Development,B4,1,0,0,1,0,0,0,0,0,0,Schema question,Partial,Design discussion,No,3,https://labautomation.io/t/labware-definitions-container-cross-section-carrier-type-plr/2739,Questions whether representation can encode shape and carrier semantics.
25,Are PLR Resource Definitions Different for Opentrons Machines?,2024-06-18,PyLabRobot User Discussion,B4,1,0,0,1,0,0,0,1,0,0,Cross-platform consistency check,Open,None identified,No,3,https://labautomation.io/t/are-plr-resource-definitions-different-for-opentrons-machines/3855,Tests whether nominally common resource semantics remain consistent across backends.
26,Automation Report Data,2022-11-29,Hamilton (Venus),B5,1,0,0,0,1,0,0,0,0,1,Observability design,Partial,Proposed event and metadata fields,No,4,https://labautomation.io/t/automation-report-data/779,"Enumerates run, sample, device, environment, error, and recovery evidence."
27,Report generation at end of method run,2025-04-21,Hamilton (Venus),B5,0,0,0,0,1,0,0,0,0,1,Implementation support,Partial,Working spreadsheet output,No,3,https://labautomation.io/t/report-generation-at-end-of-method-run/5907,Shows practical reporting capabilities and remaining format limitations.
28,Atypical Hamilton TADM Curves,2026-01-22,Liquid Handling,B5,0,0,0,0,1,0,0,1,0,1,Diagnostic request,Open,None identified,No,3,https://labautomation.io/t/atypical-hamilton-tadm-curves/7165,Asks how telemetry patterns relate to physical behavior and parameter changes.
